,0,1
0,Aaron_Eckhart,1
1,Aaron_Guiel,1
2,Aaron_Patterson,1
3,Aaron_Peirsol,4
4,Aaron_Pena,1
5,Aaron_Sorkin,2
6,Aaron_Tippin,1
7,Abbas_Kiarostami,1
8,Abba_Eban,1
9,Abdel_Aziz_Al-Hakim,1
10,Abdel_Madi_Shabneh,1
11,Abdel_Nasser_Assidi,2
12,Abdoulaye_Wade,4
13,Abdulaziz_Kamilov,1
14,Abdullah,4
15,Abdullah_Ahmad_Badawi,1
16,Abdullah_al-Attiyah,3
17,Abdullah_Gul,19
18,Abdullah_Nasseef,1
19,Abdullatif_Sener,2
20,Abdul_Majeed_Shobokshi,1
21,Abdul_Rahman,1
22,Abel_Aguilar,1
23,Abel_Pacheco,4
24,Abid_Hamid_Mahmud_Al-Tikriti,3
25,Abner_Martinez,1
26,Abraham_Foxman,1
27,Aby_Har-Even,1
28,Adam_Ant,1
29,Adam_Freier,1
30,Adam_Herbert,1
31,Adam_Kennedy,1
32,Adam_Mair,1
33,Adam_Rich,1
34,Adam_Sandler,4
35,Adam_Scott,2
36,Adelina_Avila,1
37,Adel_Al-Jubeir,3
38,Adisai_Bodharamik,1
39,Adolfo_Aguilar_Zinser,3
40,Adolfo_Rodriguez_Saa,2
41,Adoor_Gopalakarishnan,1
42,Adriana_Lima,1
43,Adriana_Perez_Navarro,1
44,Adrianna_Zuzic,1
45,Adrian_Annus,1
46,Adrian_Fernandez,1
47,Adrian_McPherson,2
48,Adrian_Murrell,1
49,Adrian_Nastase,2
50,Adrien_Brody,12
51,Afton_Smith,1
52,Agbani_Darego,1
53,Agnelo_Queiroz,1
54,Agnes_Bruckner,1
55,Ahmad_Jbarah,1
56,Ahmad_Masood,2
57,Ahmed_Ahmed,1
58,Ahmed_Chalabi,5
59,Ahmed_Ghazi,1
60,Ahmed_Ibrahim_Bilal,1
61,Ahmed_Lopez,1
62,Ahmed_Qureia,1
63,Ahmet_Demir,1
64,Ahmet_Necdet_Sezer,2
65,Aicha_El_Ouafi,3
66,Aidan_Quinn,1
67,Aileen_Riggin_Soule,1
68,Ainsworth_Dyer,1
69,Ain_Seppik,1
70,Aishwarya_Rai,1
71,Aitor_Gonzalez,2
72,Aiysha_Smith,1
73,Ai_Sugiyama,5
74,Ajit_Agarkar,1
75,AJ_Cook,1
76,AJ_Lamas,1
77,Akbar_Al_Baker,1
78,Akbar_Hashemi_Rafsanjani,3
79,Akhmed_Zakayev,3
80,Akiko_Morigami,1
81,Akmal_Taher,1
82,Alain_Cervantes,1
83,Alain_Ducasse,1
84,Alanis_Morissette,1
85,Alanna_Ubach,1
86,Alan_Ball,2
87,Alan_Dershowitz,1
88,Alan_Dreher,1
89,Alan_Greenspan,5
90,Alan_Greer,1
91,Alan_Jackson,1
92,Alan_Mulally,2
93,Alan_Stonecipher,1
94,Alan_Tang_Kwong-wing,1
95,Alan_Trammell,1
96,Alan_Zemaitis,1
97,Alastair_Campbell,5
98,Alastair_Johnston,1
99,Albaro_Recoba,1
100,Alberta_Lee,1
101,Alberto_Acosta,1
102,Alberto_Fujimori,2
103,Alberto_Gonzales,1
104,Alberto_Ruiz_Gallardon,2
105,Alberto_Sordi,1
106,Albert_Brooks,1
107,Albert_Costa,6
108,Albert_Montanes,1
109,Albert_Pujols,1
110,Albrecht_Mentz,2
111,Aldo_Paredes,2
112,Alecos_Markides,1
113,Alec_Baldwin,4
114,Alejandro_Atchugarry,2
115,Alejandro_Avila,3
116,Alejandro_Fernandez,1
117,Alejandro_Gonzalez_Inarritu,1
118,Alejandro_Lembo,1
119,Alejandro_Lerner,1
120,Alejandro_Lopez,1
121,Alejandro_Toledo,39
122,Aleksander_Kwasniewski,4
123,Aleksander_Voloshin,1
124,Alek_Wek,1
125,Alessandra_Cerna,1
126,Alessandro_Nesta,1
127,Alexander_Downer,4
128,Alexander_Losyukov,4
129,Alexander_Lukashenko,1
130,Alexander_Payne,1
131,Alexander_Rumyantsev,2
132,Alexandra_Jackson,1
133,Alexandra_Pelosi,1
134,Alexandra_Rozovskaya,1
135,Alexandra_Spann,1
136,Alexandra_Stevenson,3
137,Alexandra_Vodjanikova,2
138,Alexandre_Daigle,1
139,Alexandre_Despatie,1
140,Alexandre_Herchcovitch,1
141,Alexandre_Vinokourov,1
142,Alexa_Loren,1
143,Alexa_Vega,1
144,Alexis_Bledel,1
145,Alexis_Dennisoff,1
146,Alex_Barros,2
147,Alex_Cabrera,1
148,Alex_Cejka,1
149,Alex_Corretja,1
150,Alex_Ferguson,1
151,Alex_Gonzalez,1
152,Alex_Holmes,1
153,Alex_King,1
154,Alex_Penelas,2
155,Alex_Popov,1
156,Alex_Sink,3
157,Alex_Wallau,1
158,Alex_Zanardi,1
159,Alfonso_Cuaron,1
160,Alfonso_Portillo,1
161,Alfonso_Soriano,1
162,Alfredo_di_Stefano,1
163,Alfredo_Moreno,1
164,Alfredo_Pena,1
165,Alfred_Ford,1
166,Alfred_Sant,1
167,Alice_Fisher,2
168,Alicia_Hollowell,1
169,Alicia_Keys,1
170,Alicia_Molik,1
171,Alicia_Silverstone,2
172,Alicia_Witt,1
173,Alimzhan_Tokhtakhounov,2
174,Alina_Kabaeva,1
175,Aline_Chretien,1
176,Alisha_Richman,1
177,Alison_Krauss,1
178,Alison_Lohman,2
179,Alistair_MacDonald,1
180,Ali_Abbas,2
181,Ali_Abdullah_Saleh,1
182,Ali_Adbul_Karim_Madani,1
183,Ali_Ahmeti,1
184,Ali_Bin_Hussein,1
185,Ali_Fallahian,1
186,Ali_Hammoud,1
187,Ali_Khamenei,3
188,Ali_Mohammed_Maher,1
189,Ali_Naimi,8
190,Allan_Houston,1
191,Allan_Kemakeza,1
192,Allan_Wagner,1
193,Allen_Iverson,2
194,Allen_Rock,1
195,Allison_Janney,2
196,Allison_Searing,1
197,Allyson_Felix,5
198,Ally_Sheedy,1
199,Alma_Powell,1
200,Almeida_Baptista,1
201,Alonzo_Mourning,1
202,Alvaro_Noboa,3
203,Alvaro_Silva_Calderon,4
204,Alvaro_Uribe,35
